transaction_id,customer_id,transaction_date,amount
3001,1001,2020-03-01,50
3002,1001,2020-04-01,50
3003,1001,2020-05-01,50
3004,1001,2020-06-01,50
3005,1001,2020-07-01,50
3006,1001,2020-08-01,50
3007,1001,2020-09-01,50
3008,1001,2020-10-01,50
3009,1001,2020-11-01,50
3010,1001,2020-12-01,50
3011,1001,2021-01-01,50
3012,1001,2021-02-01,50
3013,1001,2021-03-01,50
3014,1001,2021-04-01,50
3015,1001,2021-05-01,50
3016,1001,2021-06-01,50
3017,1001,2021-07-01,50
3018,1001,2021-08-01,50
3019,1001,2021-09-01,50
3020,1001,2021-10-01,50
3021,1001,2021-11-01,50
3022,1001,2021-12-01,50
3023,1001,2022-01-01,50
3024,1001,2022-02-01,50
3025,1001,2022-03-01,50
3026,1001,2022-04-01,50
3027,1001,2022-05-01,50
3028,1001,2022-06-01,50
3029,1001,2022-07-01,50
3030,1001,2022-08-01,50
3031,1001,2022-09-01,50
3032,1001,2022-10-01,50
3033,1001,2022-11-01,50
3034,1001,2022-12-01,50
3035,1001,2023-01-01,50
3036,1001,2023-02-01,50
3037,1001,2023-03-01,50
3038,1001,2023-04-01,50
3039,1001,2023-05-01,50
3040,1001,2023-06-01,50
3041,1001,2023-07-01,50
3042,1001,2023-08-01,50
3043,1001,2023-09-01,50
3044,1001,2023-10-01,50
3045,1001,2023-11-01,50
3046,1001,2023-12-01,50
3047,1001,2024-01-01,50
3048,1001,2024-02-01,50
3049,1001,2024-03-01,50
3050,1001,2024-04-01,50
3051,1001,2024-05-01,50
3052,1001,2024-06-01,50
3053,1001,2024-07-01,50
3054,1001,2024-08-01,50
3055,1001,2024-09-01,50
3056,1001,2024-10-01,50
3057,1001,2024-11-01,50
3058,1001,2024-12-01,50
3059,1001,2025-01-01,50
3060,1002,2021-12-01,30
3061,1002,2022-01-01,30
3062,1002,2022-02-01,30
3063,1002,2022-03-01,30
3064,1002,2022-04-01,30
3065,1002,2022-05-01,30
3066,1002,2022-06-01,30
3067,1002,2022-07-01,30
3068,1002,2022-08-01,30
3069,1002,2022-09-01,30
3070,1002,2022-10-01,30
3071,1002,2022-11-01,30
3072,1002,2022-12-01,30
3073,1002,2023-01-01,30
3074,1002,2023-02-01,30
3075,1002,2023-03-01,30
3076,1002,2023-04-01,30
3077,1002,2023-05-01,30
3078,1002,2023-06-01,30
3079,1002,2023-07-01,30
3080,1002,2023-08-01,30
3081,1002,2023-09-01,30
3082,1002,2023-10-01,30
3083,1002,2023-11-01,30
3084,1002,2023-12-01,30
3085,1002,2024-01-01,30
3086,1002,2024-02-01,30
3087,1002,2024-03-01,30
3088,1002,2024-04-01,30
3089,1002,2024-05-01,30
3090,1002,2024-06-01,30
3091,1002,2024-07-01,30
3092,1002,2024-08-01,30
3093,1002,2024-09-01,30
3094,1002,2024-10-01,30
3095,1002,2024-11-01,30
3096,1002,2024-12-01,30
3097,1002,2025-01-01,30
3098,1003,2021-09-01,30
3099,1003,2021-10-01,30
3100,1003,2021-11-01,30
3101,1003,2021-12-01,30
3102,1003,2022-01-01,30
3103,1003,2022-02-01,30
3104,1003,2022-03-01,30
3105,1003,2022-04-01,30
3106,1003,2022-05-01,30
3107,1003,2022-06-01,30
3108,1003,2022-07-01,30
3109,1003,2022-08-01,30
3110,1003,2022-09-01,30
3111,1003,2022-10-01,30
3112,1003,2022-11-01,30
3113,1003,2022-12-01,30
3114,1003,2023-01-01,30
3115,1003,2023-02-01,30
3116,1003,2023-03-01,30
3117,1003,2023-04-01,30
3118,1003,2023-05-01,30
3119,1003,2023-06-01,30
3120,1003,2023-07-01,30
3121,1003,2023-08-01,30
3122,1003,2023-09-01,30
3123,1003,2023-10-01,30
3124,1003,2023-11-01,30
3125,1003,2023-12-01,30
3126,1003,2024-01-01,30
3127,1003,2024-02-01,30
3128,1003,2024-03-01,30
3129,1003,2024-04-01,30
3130,1003,2024-05-01,30
3131,1003,2024-06-01,30
3132,1003,2024-07-01,30
3133,1003,2024-08-01,30
3134,1003,2024-09-01,30
3135,1003,2024-10-01,30
3136,1003,2024-11-01,30
